,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
784,2015-08-01,5904.754319734844,4175.183640732183,6261.2791548510395,5904.754319734844,5904.754319734844,-673.7349827888663,-673.7349827888663,-673.7349827888663,-719.174286025024,-719.174286025024,-719.174286025024,45.439303236157734,45.439303236157734,45.439303236157734,0.0,0.0,0.0,5231.019336945978
785,2015-08-02,5905.498640810681,4656.536783413131,6757.240281275943,5905.498640810681,5905.498640810681,-172.38568701330078,-172.38568701330078,-172.38568701330078,-197.4239157780426,-197.4239157780426,-197.4239157780426,25.038228764741824,25.038228764741824,25.038228764741824,0.0,0.0,0.0,5733.11295379738
786,2015-08-03,5906.242961886517,5905.115429579465,7881.22759023375,5906.242961886517,5906.242961886517,1015.9174861308154,1015.9174861308154,1015.9174861308154,1013.0406335698964,1013.0406335698964,1013.0406335698964,2.8768525609190845,2.8768525609190845,2.8768525609190845,0.0,0.0,0.0,6922.160448017333
787,2015-08-04,5906.987282962354,5069.441798773786,7183.7088660432055,5906.987282962354,5906.987282962354,202.98991593239919,202.98991593239919,202.98991593239919,223.67378074002605,223.67378074002605,223.67378074002605,-20.683864807626897,-20.683864807626897,-20.683864807626897,0.0,0.0,0.0,6109.977198894753
788,2015-08-05,5907.731604038191,4620.374388382645,6726.427228378195,5907.731604038191,5907.731604038191,-248.3322235226588,-248.3322235226588,-248.3322235226588,-203.0460670169387,-203.0460670169387,-203.0460670169387,-45.28615650572011,-45.28615650572011,-45.28615650572011,0.0,0.0,0.0,5659.399380515532
789,2015-08-06,5908.4759251140285,4671.962420264434,6691.356792981095,5908.4759251140285,5908.4759251140285,-253.5972205089019,-253.5972205089019,-253.5972205089019,-183.0129705483533,-183.0129705483533,-183.0129705483533,-70.58424996054858,-70.58424996054858,-70.58424996054858,0.0,0.0,0.0,5654.878704605127
790,2015-08-07,5909.220246189865,4829.136397688524,6839.212137226413,5909.220246189865,5909.220246189865,-30.30941996722128,-30.30941996722128,-30.30941996722128,65.9428250599196,65.9428250599196,65.9428250599196,-96.25224502714087,-96.25224502714087,-96.25224502714087,0.0,0.0,0.0,5878.910826222644
791,2015-08-08,5909.964567265702,4048.864237920671,6100.7693448439495,5909.964567265702,5909.964567265702,-841.1651478833068,-841.1651478833068,-841.1651478833068,-719.1742860249269,-719.1742860249269,-719.1742860249269,-121.99086185837982,-121.99086185837982,-121.99086185837982,0.0,0.0,0.0,5068.799419382395
792,2015-08-09,5910.708888341539,4471.62710519785,6683.598532195408,5910.708886400658,5910.70888834154,-344.95680651941063,-344.95680651941063,-344.95680651941063,-197.42391577743024,-197.42391577743024,-197.42391577743024,-147.53289074198037,-147.53289074198037,-147.53289074198037,0.0,0.0,0.0,5565.752081822128
793,2015-08-10,5911.4532094173765,5764.790340275829,7839.513509014962,5911.453201065892,5911.453215100118,840.3934126523707,840.3934126523707,840.3934126523707,1013.0406335696237,1013.0406335696237,1013.0406335696237,-172.64722091725298,-172.64722091725298,-172.64722091725298,0.0,0.0,0.0,6751.846622069747
